Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
University College Cork,2024,All,All,"Agriculture, forestry, fisheries and veterinary",125
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",125
University College Dublin,2024,All,All,"Agriculture, forestry, fisheries and veterinary",2640
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",2640
University of Galway,2024,All,All,"Agriculture, forestry, fisheries and veterinary",175
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",175
University of Limerick,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
TOTAL,2024,All,All,"Agriculture, forestry, fisheries and veterinary",4940
ATU Donegal,2024,All,All,Arts and humanities,210
ATU Galway-Mayo,2024,All,All,Arts and humanities,760
ATU Sligo,2024,All,All,Arts and humanities,575
,2024,All,All,Arts and humanities,1545
Dublin City University,2024,All,All,Arts and humanities,2680
,2024,All,All,Arts and humanities,2680
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Arts and humanities,1495
,2024,All,All,Arts and humanities,1495
Dundalk IT,2024,All,All,Arts and humanities,520
,2024,All,All,Arts and humanities,520
"Mary Immaculate College, Limerick",2024,All,All,Arts and humanities,935
,2024,All,All,Arts and humanities,935
Maynooth University,2024,All,All,Arts and humanities,2890
,2024,All,All,Arts and humanities,2890
MTU Cork,2024,All,All,Arts and humanities,1320
MTU Kerry,2024,All,All,Arts and humanities,90
,2024,All,All,Arts and humanities,1410
National College of Art and Design,2024,All,All,Arts and humanities,1325
,2024,All,All,Arts and humanities,1325
National College of Ireland,2024,All,All,Arts and humanities,0
,2024,All,All,Arts and humanities,0
Royal College of Surgeons,2024,All,All,Arts and humanities,0
,2024,All,All,Arts and humanities,0
SETU Carlow,2024,All,All,Arts and humanities,380
SETU Waterford,2024,All,All,Arts and humanities,565
,2024,All,All,Arts and humanities,945
"St. Angelas College of Home Economics, Sligo",2024,All,All,Arts and humanities,90
,2024,All,All,Arts and humanities,90
TU Dublin Blanchardstown,2024,All,All,Arts and humanities,205
TU Dublin City,2024,All,All,Arts and humanities,1945
TU Dublin Tallaght,2024,All,All,Arts and humanities,190
,2024,All,All,Arts and humanities,2340
TUS Athlone,2024,All,All,Arts and humanities,270
TUS Limerick,2024,All,All,Arts and humanities,1115
,2024,All,All,Arts and humanities,1385
Trinity College Dublin,2024,All,All,Arts and humanities,4035
,2024,All,All,Arts and humanities,4035
University College Cork,2024,All,All,Arts and humanities,3885
,2024,All,All,Arts and humanities,3885
University College Dublin,2024,All,All,Arts and humanities,3860
,2024,All,All,Arts and humanities,3860
University of Galway,2024,All,All,Arts and humanities,3930
,2024,All,All,Arts and humanities,3930
University of Limerick,2024,All,All,Arts and humanities,2200
,2024,All,All,Arts and humanities,2200
TOTAL,2024,All,All,Arts and humanities,35485
ATU Donegal,2024,All,All,"Business, administration and law",980
ATU Galway-Mayo,2024,All,All,"Business, administration and law",1120
ATU Sligo,2024,All,All,"Business, administration and law",6810
,2024,All,All,"Business, administration and law",8910
Dublin City University,2024,All,All,"Business, administration and law",4225
,2024,All,All,"Business, administration and law",4225
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Business, administration and law",385
,2024,All,All,"Business, administration and law",385
Dundalk IT,2024,All,All,"Business, administration and law",895
,2024,All,All,"Business, administration and law",895
"Mary Immaculate College, Limerick",2024,All,All,"Business, administration and law",0
,2024,All,All,"Business, administration and law",0
Maynooth University,2024,All,All,"Business, administration and law",4850
,2024,All,All,"Business, administration and law",4850
MTU Cork,2024,All,All,"Business, administration and law",2635
MTU Kerry,2024,All,All,"Business, administration and law",245
